hour,is_weekend,energy_kwh,total_duration,charge_duration,is_dcfc,overstay_hours,venue,land_use,cluster,pca1,pca2
19,0,15.3425,10.157222222222222,2.381111111111111,0,7.776111111111111,Single Family Residential,Non-Metro,1,1.8161483984877302,-4.367631129398786
11,0,12.5,0.6555555555555556,0.6088888888888889,1,0.046666666666666634,Undesignated,Metro Area,3,-2.9752397625124383,0.408164838037545
22,0,37.845699,8.0,4.36,0,3.6399999999999997,Single Family Residential,Metro Area,1,1.8676932924857743,0.1068484168333607
17,1,33.338001,0.6711111111111111,0.6655555555555556,1,0.005555555555555536,Undesignated,Metro Area,3,-2.869887264246209,0.32672354909101686
9,0,21.5002,4.982777777777778,4.541666666666667,0,0.4411111111111108,Single Family Residential,Metro Area,1,1.0882433450336926,0.2353817595473181
15,1,9.623,0.2266666666666666,0.2233333333333333,1,0.0033333333333332993,Corridor,Metro Area,3,-3.537790801261324,-0.011728205971563297
19,0,22.018998999999997,0.4983333333333333,0.4875,1,0.010833333333333306,Undesignated,Metro Area,3,-2.963609241162662,0.36561441233498543
10,0,7.099935,8.490555555555556,1.4275,0,7.063055555555556,Multi-Unit Dwelling,Metro Area,5,1.0634834441511314,1.0462204897975103
19,1,3.3486,1.0875,1.08,0,0.00749999999999984,Multi-Unit Dwelling,Metro Area,5,-0.5662378244916098,0.8171499247138587
8,0,10.921,0.2758333333333333,0.2722222222222222,1,0.0036111111111111205,Corridor,Undesignated,2,-3.346800905006918,-4.196119747574443
17,1,11.0475,16.485555555555557,2.235,0,14.250555555555557,Single Family Residential,Metro Area,1,2.1026842873216904,-0.2213392036949815
17,1,41.187,1.6122222222222222,1.6019444444444444,1,0.01027777777777783,Corridor,Metro Area,3,-2.521941621976716,0.2531916987697138
17,0,8.464,0.3694444444444444,0.3366666666666666,1,0.032777777777777795,Corridor,Metro Area,3,-3.3541019502693112,0.09207681048422921
23,0,18.474501,8.001388888888888,5.035,0,2.966388888888888,Single Family Residential,Metro Area,1,1.8315473006032783,0.06224021218379896
22,1,1.6346,19.77027777777778,4.317777777777778,0,15.4525,Single Family Residential,Metro Area,1,2.437756151129929,-0.31523723314976837
5,1,3.5304919999999997,20.0075,1.0447222222222223,0,18.962777777777777,Municipal Building,Metro Area,0,1.1384491640812395,0.22251683671335007
14,0,19.700001,0.9747222222222224,0.9666666666666668,1,0.008055555555555594,Corridor,Metro Area,3,-2.8839029603982342,0.2738879212316636
13,0,5.297000000000001,1.7161111111111111,1.709722222222222,0,0.0063888888888892215,Medical or Educational Campus,Metro Area,0,-0.49361573628311073,0.7100803424359835
8,0,0.839825,0.5647222222222222,0.1422222222222222,0,0.42250000000000004,Municipal Building,Metro Area,0,-1.4610765393545035,0.1604063599269708
17,0,1.0493,3.934444444444445,0.4838888888888888,0,3.450555555555556,Single Family Residential,Metro Area,1,0.40877564970376906,-0.3843295239492026
12,1,18.384,3.1658333333333335,3.161666666666666,0,0.004166666666667318,Leisure Destination,Metro Area,0,-0.11161037831016819,0.4765540061226888
21,0,14.8212,12.26722222222222,2.2536111111111112,0,10.013611111111109,Multi-Unit Dwelling,Metro Area,5,1.6994063428523638,1.0481321086498747
9,0,7.69,1.262222222222222,1.2591666666666668,0,0.003055555555555145,Medical or Educational Campus,Metro Area,0,-0.7254637138395771,0.7577148101528026
13,0,14.611413,2.4002777777777777,2.3941666666666666,0,0.006111111111111178,Business Office,Metro Area,0,-0.1119359883152528,0.8534705190191547
13,1,21.214,3.7391666666666663,3.735833333333334,0,0.003333333333332522,Municipal Building,Metro Area,0,0.13400114402286853,0.5096528938011492
16,0,6.945807,0.9944444444444444,0.9911111111111112,0,0.0033333333333331883,Retail,Metro Area,0,-1.068379848435824,0.4935888485573706
16,0,7.0587,1.0716666666666668,1.0683333333333334,0,0.0033333333333334103,Single Family Residential,Metro Area,1,-0.22956391124709494,-0.12832192047183413
