id,vehicle_id,start_datetime,stop_datetime,duration,energy_kwh,soc_start,soc_stop,rucc_id,flag_id
622326,24,2022-07-30 13:10:00,2022-07-30 13:50:00,0.7825,17.4,70.0,100.0,1.0,512
622327,72,2022-07-30 11:10:00,2022-07-30 11:10:00,0.0358333333333333,0.62,,,1.0,576
622328,1068,2022-07-30 13:10:00,2022-07-30 14:20:00,1.1255555555555556,1.96,,,2.0,512
622329,158,2022-07-30 11:10:00,2022-07-30 11:40:00,0.4777777777777778,3.1,90.0,95.0,1.0,512
622330,664,2022-07-30 10:40:00,2022-07-30 10:50:00,0.1619444444444444,0.6545,,,1.0,512
622331,145,2022-07-30 11:50:00,2022-07-31 09:40:00,21.808611111111112,35.96,0.0,60.0,1.0,0
622332,845,2022-07-30 13:50:00,2022-07-30 13:50:00,0.0283333333333333,0.1694,,,4.0,576
622333,664,2022-07-30 11:00:00,2022-07-30 13:10:00,2.1825,1.96,,,1.0,512
622334,845,2022-07-30 14:00:00,2022-07-30 14:00:00,0.0563888888888888,0.1701,,,4.0,512
622335,1070,2022-07-30 14:10:00,2022-07-30 14:20:00,0.1372222222222222,13.23,25.0,45.0,1.0,512
622336,671,2022-07-30 14:10:00,2022-07-30 14:20:00,0.0688888888888888,0.5,,,3.0,512
622337,72,2022-07-30 12:30:00,2022-07-30 12:30:00,0.0152777777777777,0.62,70.0,70.0,1.0,576
622338,845,2022-07-30 14:40:00,2022-07-30 16:00:00,1.4569444444444444,1.96,,,4.0,512
622339,984,2022-07-30 14:40:00,2022-07-30 18:00:00,3.345833333333333,25.0,,,1.0,544
